,date,country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious,total_cases_per_million,total_deaths_per_million,total_tests
157,2020-05-05,Guyana,92,,9 ,,27,56,3,117,11,579
158,2020-05-05,CAR,85,, ,,10,75,,18,,"3,498"
159,2020-05-05,Bahamas,83,,11 ,,25,47,1,211,28,"1,391"
160,2020-05-05,Barbados,82,,7 ,,47,28,4,285,24,"2,549"
161,2020-05-05,Liechtenstein,82,,1 ,,55,26,,"2,151",26,900
162,2020-05-05,Nepal,82,+7, ,,16,66,,3,,"64,492"
163,2020-05-05,Mozambique,81,+1, ,,19,62,,3,,"2,867"
164,2020-05-05,Sint Maarten,76,,14 ,+1,44,18,7,"1,773",327,329
165,2020-05-05,Cayman Islands,75,,1 ,,14,60,3,"1,141",15,"2,528"
166,2020-05-05,Libya,63,,3 ,,23,37,,9,0.4,"2,338"
167,2020-05-05,French Polynesia,58,, ,,53,5,1,206,,"2,665"
168,2020-05-05,South Sudan,52,+6, ,,,52,,5,,"1,247"
169,2020-05-05,Macao,45,, ,,39,6,1,69,,
170,2020-05-05,Syria,44,,3 ,,27,14,,3,0.2,
171,2020-05-05,Malawi,41,,3 ,,9,29,1,2,0.2,907
172,2020-05-05,Mongolia,41,+1, ,,13,28,,13,,"8,889"
173,2020-05-05,Eritrea,39,, ,,30,9,,11,,
174,2020-05-05,Saint Martin,38,,3 ,,29,6,1,983,78,
175,2020-05-05,Angola,36,+1,2 ,,11,23,,1,0.06,"3,000"
176,2020-05-05,Zimbabwe,34,,4 ,,5,25,,2,0.3,"7,642"
177,2020-05-05,Antigua and Barbuda,25,,3 ,,16,6,1,255,31,153
178,2020-05-05,Timor-Leste,24,, ,,20,4,,18,,664
179,2020-05-05,Sao Tome and Principe,23,,3 ,,4,16,,105,14,175
180,2020-05-05,Botswana,23,,1 ,,8,14,,10,0.4,"8,636"
181,2020-05-05,Yemen,22,+10,3 ,+1,1,18,,0.7,0.1,120
182,2020-05-05,Grenada,21,, ,,13,8,4,187,,"1,406"
183,2020-05-05,Laos,19,, ,,9,10,,3,,"2,418"
184,2020-05-05,Belize,18,,2 ,,14,2,1,45,5,"1,043"
185,2020-05-05,Fiji,18,, ,,14,4,,20,,"1,007"
186,2020-05-05,New Caledonia,18,, ,,17,1,1,63,,"5,052"
187,2020-05-05,Saint Lucia,18,, ,,15,3,,98,,446
