,Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
Guinea-Bissau,2020-04-20,50,, ,,3,47,,25,,"1,500",762,Africa
Macao,2020-04-20,45,, ,,22,23,1,69,,,,Asia
Sierra Leone,2020-04-20,43,, ,,6,37,,5,,,,Africa
Syria,2020-04-20,39,,3 ,,5,31,,2,0.2,,,Asia
Eritrea,2020-04-20,39,, ,,3,36,,11,,,,Africa
Mozambique,2020-04-20,39,, ,,8,31,,1,,"1,110",36,Africa
Saint Martin,2020-04-20,37,,2 ,,19,16,5,957,52,,,North America
Chad,2020-04-20,33,, ,,8,25,,2,,,,Africa
Mongolia,2020-04-20,33,, ,,8,25,,10,,"6,800","2,074",Asia
Nepal,2020-04-20,31,, ,,4,27,,1,,"29,567","1,015",Asia
Zimbabwe,2020-04-20,25,,3 ,,2,20,,2,0.2,"2,851",192,Africa
Angola,2020-04-20,24,,2 ,,6,16,,0.7,0.06,,,Africa
Eswatini,2020-04-20,24,,1 ,,8,15,,21,0.9,714,615,Africa
Antigua and Barbuda,2020-04-20,23,,3 ,,3,17,1,235,31,73,745,North America
Timor-Leste,2020-04-20,22,, ,,1,21,,17,,,,Asia
Botswana,2020-04-20,20,,1 ,,,19,,9,0.4,"4,432","1,885",Africa
Laos,2020-04-20,19,, ,,2,17,,3,,"1,349",185,Asia
Belize,2020-04-20,18,,2 ,,2,14,1,45,5,651,"1,637",North America
Fiji,2020-04-20,18,, ,,3,15,,20,,,,Australia/Oceania
New Caledonia,2020-04-20,18,, ,,15,3,1,63,,"3,399","11,906",Australia/Oceania
Malawi,2020-04-20,17,,2 ,,3,12,1,0.9,0.1,429,22,Africa
Dominica,2020-04-20,16,, ,,8,8,,222,,345,"4,793",North America
Namibia,2020-04-20,16,, ,,6,10,,6,,524,206,Africa
Saint Kitts and Nevis,2020-04-20,15,, ,,,15,,282,,247,"4,643",North America
Saint Lucia,2020-04-20,15,, ,,13,2,,82,,344,"1,873",North America
Curaçao,2020-04-20,14,,1 ,,11,2,,85,6,286,"1,743",North America
Grenada,2020-04-20,14,, ,,6,8,4,124,,92,818,North America
CAR,2020-04-20,12,, ,,4,8,,2,,,,Africa
St. Vincent Grenadines,2020-04-20,12,, ,,1,11,,108,,87,784,North America
Turks and Caicos,2020-04-20,11,,1 ,,,10,,284,26,83,"2,144",North America
Falkland Islands,2020-04-20,11,, ,,3,8,,"3,161",,319,"91,667",South America
Greenland,2020-04-20,11,, ,,11,0,,194,,"1,101","19,394",North America
Montserrat,2020-04-20,11,, ,,2,9,1,"2,204",,36,"7,212",North America
Seychelles,2020-04-20,11,, ,,5,6,,112,,,,Africa
Nicaragua,2020-04-20,10,,2 ,,6,2,,2,0.3,,,North America
Gambia,2020-04-20,10,,1 ,,2,7,,4,0.4,316,131,Africa
Suriname,2020-04-20,10,,1 ,,6,3,,17,2,,,South America
MS Zaandam,2020-04-20,9,,2 ,,,7,,,,,,
Vatican City,2020-04-20,9,, ,,2,7,,"11,236",,,,Europe
Mauritania,2020-04-20,7,,1 ,,6,0,,2,0.2,913,196,Africa
Papua New Guinea,2020-04-20,7,, ,,,7,,0.8,,167,19,Australia/Oceania
St. Barth,2020-04-20,6,, ,,5,1,,607,,,,North America
Western Sahara,2020-04-20,6,, ,,,6,,10,,,,Africa
British Virgin Islands,2020-04-20,5,,1 ,,3,1,,165,33,,,North America
Burundi,2020-04-20,5,,1 ,,4,0,,0.4,0.08,80,7,Africa
Bhutan,2020-04-20,5,, ,,2,3,,6,,"8,570","11,107",Asia
Caribbean Netherlands,2020-04-20,5,, ,,,5,,191,,110,"4,195",North America
Sao Tome and Principe,2020-04-20,4,, ,,,4,,18,,19,87,Africa
South Sudan,2020-04-20,4,, ,,,4,,0.4,,,,Africa
Anguilla,2020-04-20,3,, ,,1,2,,200,,,,North America
Saint Pierre Miquelon,2020-04-20,1,, ,,,1,,173,,,,North America
Yemen,2020-04-20,1,, ,,,1,,0.03,,,,Asia
China,2020-04-20,"82,758",+11,"4,632 ",,"77,123","1,003",82,57,3,,,Asia
